num_nodes,avg_tdt,avg_ldt,avg_total,avg_lldp_len,avg_pkt_len,avg_lldp_count,avg_pkt_count,avg_cpu,avg_memory
5,3.3515191078186035,1.1864716211954753,4.537990729014079,15880.0,123352.0,49.0,233.33333333333334,16.930901960784315,20.733333333333334
10,5.558166742324829,2.9549529552459717,8.5131196975708,59295.666666666664,366033.0,201.66666666666666,769.3333333333334,17.120741062382397,20.8
15,8.867111921310425,4.986620346705119,13.853732268015545,196177.33333333334,971440.6666666666,732.0,2293.3333333333335,18.061874526953158,20.827898550724637
